cell_line_id	drug_row	drug_col	synergy_zip
1263	5280757	71268957	2.3638
1263	5280757	25062766	2.1097
1263	5280757	216345	1.9607
1263	5280757	15547703	1.9806
1263	5280757	445643	0.9612
1263	5280757	6675804	0.7973
1263	445643	71729975	-0.2229
1263	71729975	6675804	0.1104
1263	53315878	71729975	0.2054
1263	9865515	71729975	-0.0025
1263	71729975	9863776	0.0815
1263	49850262	71729975	0.1913
1263	153999	71729975	0.0281
1263	16654980	71729975	-0.0655
1263	71729975	5328940	-0.3299
1263	71729975	5311	-0.3768
1263	5280757	24978538	-0.4418
1263	445643	24978538	-0.4577
1263	15547703	24978538	-0.4794
1263	5311027	24978538	-0.4821
1263	71268957	24978538	-0.4835
1263	444795	24978538	-0.4859
1263	216345	24978538	-0.4876
1263	11683	24978538	-0.4887
1263	25062766	24978538	-0.4956
1263	49850262	24978538	-0.4959
1263	449459	24978538	-0.499
1263	49846579	445643	-0.6157
1263	5755	71268957	-0.6822
1263	5755	5311027	-0.7083
1263	49846579	9863776	-0.7231
1263	49846579	16654980	-0.7255
1263	49846579	6675804	-0.7311
1263	49846579	11683	-0.7607
1263	49846579	53315878	-0.7813
1263	49846579	2779853	-0.7817
1508	11683	5755	-0.7135
1508	11683	82146	-1.5477
1508	11683	11634725	-2.0442
1508	5755	82146	-0.2366
1508	5755	11634725	0.17
1508	82146	11634725	-1.0389
1508	5743	17755052	0.2161
1508	16659841	6741	0.1238
1508	11404337	5755	0.0915
1508	5755	2662	0.0743
1508	176167	5755	0.0681
1508	5755	135398510	0.0171
1508	11977753	5743	-0.0769
1508	16007391	5755	-0.321
1508	11977753	5755	-0.5241
1508	5280757	11634725	-0.6746
1508	15547703	11634725	-0.8936
1508	5280757	16124208	-0.9197
1508	11634725	10296883	-0.9586
1409	160355	5330286	3.2531
1409	10296883	160355	2.4826
1409	10296883	5330286	2.2392
1409	24771867	5330286	2.1576
1409	11977753	160355	1.3998
1409	3547	126565	1.1543
1409	24856436	156422	0.8982
1409	24856436	160355	0.662
1409	5330286	135398510	0.4943
1409	5330286	176167	0.1989
1409	24856436	11213558	0.1445
1409	208908	17755052	0.0536
1409	135398495	3081361	-0.0841
1409	24889392	11234052	-0.0979
1409	135398516	11556711	-0.206
1409	2779853	11556711	-0.2532
1409	2779853	25033539	-0.7183
1409	2779853	45375953	-1.2585
1409	45375953	25033539	-1.317
