cell_line_id	drug_row	drug_col	synergy_zip	synergy_loewe	synergy_hsa	synergy_bliss
47	25227436	24964624	-1.4038	-0.1397	-0.8387	-0.9063
47	25227436	148177	-1.2244	-0.1497	-0.4207	-0.4125
47	25227436	9444	-0.7046	0.6	0.5275	0.1159
47	25227436	16681698	-0.6377	-0.1532	-0.7745	-0.6053
47	25227436	24978538	0.3468	-0.0873	-0.9453	-0.7429
47	25227436	11178236	-0.3905	-1.2466	-0.182	-0.1409
47	25227436	11717001	-1.1788	-0.2738	-0.4567	-0.5795
47	25227436	11656518	-1.1254	-0.1733	-0.0748	-0.6125
47	25227436	135330301	-0.1607	0.1618	0.6202	0.6105
47	25227436	2719	-0.418	0.0917	0.2077	0.6697
47	25227436	104741	-0.0752	0.0636	-0.7874	-0.553
47	25227436	449459	-0.1209	0.4747	0.2774	-0.149
47	25227436	2733526	0.1003	0.4785	0.4616	-0.1484
47	25227436	148195	1.5874	0.5395	2.173	1.6136
47	25227436	49867930	-0.8581	0.7555	0.7636	0.249
47	25227436	5311	-0.9711	-0.889	-1.2092	-0.8167
47	25227436	4261	-0.8985	-0.771	-0.7068	-0.6659
47	25227436	11955716	-0.694	0.0615	-0.5771	-0.5677
47	25227436	16719221	-0.544	0.4925	0.6257	0.1012
47	25227436	11707110	0.0954	0.4766	0.7063	0.0547
47	25227436	11494412	0.0541	0.463	0.7698	0.6063
47	25227436	11626560	-1.6635	-1.3087	-3.091	-2.3369
47	25227436	17754438	-0.7033	0.303	0.5942	0.2949
47	25227436	6918289	-0.3873	-0.0794	-0.6516	-0.5641
47	25227436	6442177	-0.2694	0.2935	-0.2893	-0.394
47	25227436	45375953	-1.6353	-0.0936	-0.7182	-0.9977
47	25227436	11520894	-0.359	0.0369	-0.6577	-0.5251
47	25227436	11625818	1.3495	1.0353	1.6183	1.5281
47	25227436	49867926	-0.2179	0.3645	1.0145	0.8401
47	25227436	25033539	-0.4898	-0.2059	-0.1591	-0.3516
47	25227436	176167	-1.5973	-0.5926	-1.286	-0.8292
47	25227436	11556711	-0.4758	0.1311	-0.3554	-0.1507
47	25227436	11167602	-0.612	0.4779	0.5052	0.0445
47	11152667	24964624	0.1843	-0.8467	0.0741	0.6055
47	11152667	148177	-0.1699	-0.6461	-0.7444	-0.3837
47	11152667	9444	0.2027	0.2639	0.0058	0.496
